StudentID,AvgInternal,SGPA
LPRP24CS131,90.15,7.71
LPRP24CS132,88.62,6.5
LPRP24CS133,79.02,4.71
LPRP24CS134,85.69,7.06
LPRP24CS136,93.02,8.71
LPRP24CS138,91.25,4.44
PRP24CS067,94.08,8.56
PRP24CS068,87.1,7.58
PRP24CS069,83.85,5.48
PRP24CS070,84.46,7.71
PRP24CS071,76.69,2.6
PRP24CS073,88.33,2.83
PRP24CS075,82.12,3.06
PRP24CS076,88.98,8
PRP24CS077,78.12,2.73
PRP24CS078,97.62,8.88
PRP24CS079,79.19,2.88
PRP24CS080,79.02,2.79
PRP24CS081,93.58,8.35
PRP24CS083,94.77,8.17
PRP24CS084,84.12,6.75
PRP24CS085,84.56,8.08
PRP24CS086,79.85,2.04
PRP24CS087,82.42,7
PRP24CS088,93.92,8.77
PRP24CS090,74.98,4.5
PRP24CS091,81.38,7
PRP24CS092,87.71,7.94
PRP24CS093,82.29,5
PRP24CS094,97.45,9.08
PRP24CS095,74.83,2.13
PRP24CS096,88.1,4.31
PRP24CS097,77.02,2.54
PRP24CS098,75.77,6.58
PRP24CS099,89.73,7.69
PRP24CS100,75.21,4.9
PRP24CS101,77.69,4.67
PRP24CS102,88.92,8.08
PRP24CS103,97.02,8.29
PRP24CS104,79.25,4.65
PRP24CS105,91.67,8.48
PRP24CS106,81.44,5.96
PRP24CS107,90.73,8.31
PRP24CS108,76.35,6.71
PRP24CS109,77.62,7.25
PRP24CS110,74.6,2.71
PRP24CS111,76.46,7.08
PRP24CS112,85.02,7.58
PRP24CS113,69.81,2.46
PRP24CS114,83.27,7.08
PRP24CS115,70.52,4.27
PRP24CS116,84.19,7.31
PRP24CS117,87.62,7.58
PRP24CS118,79.83,6.73
PRP24CS119,81.71,7.4
PRP24CS120,95.75,8.33
PRP24CS121,78.17,2.69
PRP24CS122,80.19,7.02
PRP24CS123,93.27,8.56
PRP24CS124,76.48,4.52
PRP24CS125,92.25,8.56
PRP24CS126,88.21,7.56
PRP24CS127,79.69,3.5
PRP24CS128,77.98,2.79
PRP24CS129,78.81,3.31
PRP24CS130,80.77,4.67
